row_id,value_date,post_date,details,ref_no_cheque_no,debit,credit,balance
1,2026-06-16,2026-06-16,CASH DEP/KIRAN SUPPLIERS,SBIN49395565,0.00,8430.00,258430.00
2,2026-06-18,2026-06-18,DEP TFR/NEFT/CR/RZP/20260601INDB5362,AXIS358752,0.00,90364.27,348794.27
3,2026-06-19,2026-06-19,DEP TFR/NEFT/CR/RZP/20260602HDFC3925,AXIS898855,0.00,112260.70,461054.97
4,2026-06-19,2026-06-19,WDL TFR/UPI/DR/627184932155/KIRAN,INDB42473221,63470.00,0.00,397584.97
5,2026-06-20,2026-06-20,DEP TFR/NEFT/CR/RZPY/20260603SBIN5181,RZP20260603SBIN5181,0.00,156232.64,553817.61
6,2026-06-21,2026-06-21,BANK CHG/ORBIT OFFICE SOLUTIONS,AXIS63279296,52360.00,0.00,501457.61
7,2026-06-22,2026-06-22,DEP TFR/NEFT/CR/RZPY/20260604SBIN8779,RZP20260604SBIN8779,0.00,112010.62,613468.23
8,2026-06-22,2026-06-22,ATM WDL/NOVA LOGISTICS/CHQ CASH,SBIN16323609,15624.00,0.00,597844.23
9,2026-06-23,2026-06-23,DEP TFR/NEFT/CR/RZP/20260605AXIS2468,AXIS696212,0.00,139432.50,737276.73
10,2026-06-23,2026-06-24,DEP TFR/UPI/CR/748215639204/MEERA,SBIN64864856,0.00,6975.00,744251.73
11,2026-06-24,2026-06-24,DEP TFR/NEFT/CR/RZPY/06HDFC7308,06HDFC7308,0.00,171152.70,915404.43
12,2026-06-24,2026-06-24,CASH DEP/NOVA LOGISTICS,YESB37109976,0.00,66900.00,982304.43
13,2026-06-24,2026-06-25,CASH DEP/NOVA LOGISTICS/CTR,AXIS85820598,0.00,26375.00,1008679.43
14,2026-06-25,2026-06-25,DEP TFR/NEFT/CR/RZPY/20260607SBIN8206,AXIS706077,0.00,247450.58,1256130.01
15,2026-06-26,2026-06-26,DEP TFR/NEFT/CR/RZP/20260608HDFC7101,AXIS782088,0.00,227165.31,1483295.32
16,2026-06-26,2026-06-26,WDL TFR/IMPS/DR/7470/NOVA,ICICI62585311,7470.00,0.00,1475825.32
17,2026-06-26,2026-06-26,DEP TFR/NEFT/CR/ORBIT OFFICE SOLUTIONS,KKBK11648035,0.00,830.70,1476656.02
18,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY SETL PARTIAL/RZPY-P2,RZPY-P2,0.00,59963.39,1536619.41
19,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY/20260609HDFC8078,RZP20260609HDFC8078,0.00,73288.59,1609908.00
20,2026-06-30,2026-06-30,DEP TFR/NEFT/CR/RZP/20260610INDB9773,AXIS143498,0.00,136799.60,1746707.60
21,2026-07-01,2026-07-01,DEP TFR/NEFT/CR/RZPY/20260611SBIN9506,RZP20260611SBIN9506,0.00,98125.46,1844833.06
22,2026-07-01,2026-07-01,DEP TFR/NEFT/CR/DELTA MEDIA HOUSE,AXIS59176469,0.00,68475.00,1913308.06
23,2026-07-01,2026-07-01,DEP TFR/UPI/CR/842619537204/DELTA, HDFC62394154,0.00,2227.20,1915535.26
24,2026-07-02,2026-07-02,DEP TFR/NEFT/CR/RZPY/20260612ICICI3175,AXIS892686,0.00,86402.02,2001937.28
25,2026-07-02,2026-07-02,ATM WDL/ARUN TRADERS/ATM01,ICICI93271982,10572.00,0.00,1991365.28
26,2026-07-02,2026-07-02,CASH DEP/KIRAN SUPPLIERS/BRANCH,ICICI24355028,0.00,4497.60,1995862.88
27,2026-07-03,2026-07-03,DEP TFR/NEFT/CR/RZPY/20260613KKBK7654,RZP20260613KKBK7654,0.00,161649.46,2157512.34
28,2026-07-04,2026-07-04,DEP TFR/NEFT/CR/RZPY/20260614AXIS1476,AXIS201123,0.00,216340.54,2373852.88
29,2026-07-06,2026-07-06,DEP TFR/NEFT/CR/RZP/20260615AXIS3112,AXIS461704,0.00,137186.15,2511039.03
30,2026-07-07,2026-07-07,DEP TFR/NEFT/CR/RZPY SETTLEMENT/REV,UTR-MISSING,0.00,137186.15,2648225.18
31,2026-07-07,2026-07-07,DEP TFR/NEFT/CR/RZPY/20260616HDFC8493,RZP20260616HDFC8493,0.00,194044.36,2842269.54
32,2026-07-08,2026-07-08,DEP TFR/NEFT/CR/RZPY/20260617AXIS9875,AXIS490646,0.00,261634.08,3103903.62
33,2026-07-08,2026-07-08,BANK CHG/MEERA CONSULTING,SBIN33849014,1440.00,0.00,3102463.62
34,2026-07-09,2026-07-09,DEP TFR/NEFT/CR/CLIENT TRANSFER/ARUN TRADERS,NTRF778821,0.00,80956.97,3183420.59
35,2026-07-09,2026-07-09,DEP TFR/NEFT/CR/RZPY/20260618AXIS6271,RZP20260618AXIS6271,0.00,80956.97,3264377.56
36,2026-07-09,2026-07-09,INT CR/MEERA CONSULTING,HDFC18796288,0.00,1457.50,3265835.06
37,2026-07-10,2026-07-10,DEP TFR/NEFT/CR/RZPY/20260619KKBK9821,RZP20260619KKBK9821,0.00,92681.81,3358516.87
38,2026-07-10,2026-07-10,ACH DR/ARUN TRADERS/778,ICICI92854640,778.70,0.00,3357738.17
39,2026-07-10,2026-07-10,DEP TFR/UPI/CR/913847562001/NOVA,INDB91319678,0.00,72225.00,3429963.17
40,2026-07-13,2026-07-13,DEP TFR/NEFT/CR/RZPY/20260620SBIN2018,RZP20260620SBIN2018,0.00,107484.08,3537447.25
41,2026-07-14,2026-07-14,DEP TFR/NEFT/CR/RZPY/20260621AXIS3921,AXIS973737,0.00,180227.00,3717674.25
42,2026-07-14,2026-07-14,WDL TFR/UPI/DR/781923640117/MEERA,AXIS96076939,6525.00,0.00,3711149.25
43,2026-07-16,2026-07-16,DEP TFR/NEFT/CR/RZPY/20260623YESB8170,AXIS217630,0.00,154192.58,3865341.83
44,2026-07-16,2026-07-16,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,AXIS37384748,22750.00,0.00,3842591.83
45,2026-07-17,2026-07-17,DEP TFR/NEFT/CR/RZPY/20260624AXIS4254,RZP20260624AXIS4254,0.00,167926.38,4010518.21
46,2026-07-17,2026-07-17,DEP TFR/NEFT/CR/NOVA LOGISTICS,ICICI28957550,0.00,1108.75,4011626.96
47,2026-07-18,2026-07-18,DEP TFR/NEFT/CR/RZPY/20260625AXIS4982,RZP20260625AXIS4982,0.00,306161.94,4317788.90
48,2026-07-18,2026-07-18,WDL TFR/NEFT/DR/DELTA MEDIA HOUSE,INDB45044979,10740.00,0.00,4307048.90
49,2026-07-19,2026-07-19,INT CR/ARUN TRADERS,INDB43263910,0.00,1162.50,4308211.40
50,2026-07-20,2026-07-20,CASH DEP/ARUN TRADERS,SBIN90104065,0.00,12000.00,4320211.40
51,2026-07-20,2026-07-21,DEP TFR/NEFT/CR/RZPY/20260626KKBK3006,RZP20260626KKBK3006,0.00,87348.12,4407559.52
52,2026-07-21,2026-07-21,DEP TFR/NEFT/CR/RZPY/20260627SBIN2194,RZP20260627SBIN2194,0.00,102598.44,4510157.96
53,2026-07-21,2026-07-21,ATM WDL/KIRAN SUPPLIERS/ATM03,ICICI73449050,1338.75,0.00,4508819.21
54,2026-07-22,2026-07-22,DEP TFR/NEFT/CR/RZPY/20260628ICICI5763,RZP20260628ICICI5763,0.00,144676.25,4653495.46
55,2026-07-23,2026-07-23,DEP TFR/NEFT/CR/RZPY/20260629KKBK8443,RZP20260629KKBK8443,0.00,77836.17,4731331.63
56,2026-07-23,2026-07-23,WDL TFR/NEFT/DR/MEERA CONSULTING,ICICI92340989,37044.00,0.00,4694287.63
57,2026-07-24,2026-07-24,ACH DR/MEERA CONSULTING/2714,SBIN58405707,2714.40,0.00,4691573.23
58,2026-07-29,2026-07-30,INT CR/MEERA CONSULTING,YESB36210646,0.00,27660.00,4719233.23
59,2026-07-30,2026-07-31,ACH DR/GREENFIELD FOODS/KKBK, KKBK71264605,1242.50,0.00,4717990.73
60,2026-07-31,2026-07-31,DEP TFR/UPI/CR/831726450921/NOVA,INDB76094233,0.00,1150.00,4719140.73
61,2026-08-01,2026-08-01,DEP TFR/UPI/CR/729381645204/NOVA,ICICI47243376,0.00,71250.00,4790390.73
62,2026-08-05,2026-08-05,INT CR/GREENFIELD FOODS,SBIN25921319,0.00,1489.60,4791880.33
63,2026-08-06,2026-08-06,WDL TFR/ACH/DR/NOVA LOGISTICS,SBIN21625800,899.10,0.00,4790981.23
64,2026-08-07,2026-08-07,INT CR/KIRAN SUPPLIERS,AXIS59066016,0.00,23725.00,4814706.23
65,2026-08-11,2026-08-12,DEP TFR/UPI/CR/619283745001/GREENFIELD,SBIN86588639,0.00,35952.00,4850658.23
66,2026-08-12,2026-08-12,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,YESB55231152,4440.00,0.00,4846218.23
67,2026-08-12,2026-08-12,DEP TFR/NEFT/CR/ARUN TRADERS,AXIS65104034,0.00,11844.00,4858062.23
68,2026-08-15,2026-08-15,DEP TFR/UPI/CR/719382640155/KIRAN,HDFC31114884,0.00,44688.00,4902750.23
69,2026-08-18,2026-08-18,ATM WDL/NOVA LOGISTICS/ATM07,AXIS57120107,19692.00,0.00,4883058.23
70,2026-08-19,2026-08-19,INT CR/NOVA LOGISTICS,YESB61793126,0.00,83475.00,4966533.23
71,2026-08-21,2026-08-21,WDL TFR/UPI/DR/618293745520/ORBIT,INDB62354327,28170.00,0.00,4938363.23
72,2026-08-25,2026-08-25,DEP TFR/UPI/CR/529183746001/KIRAN,KKBK98223948,0.00,36330.00,4974693.23
73,2026-08-26,2026-08-26,WDL TFR/UPI/DR/617283945002/KIRAN,SBIN29814600,2934.40,0.00,4971758.83
74,2026-08-27,2026-08-27,CASH DEP/ORBIT OFFICE SOLUTIONS/BRANCH,INDB53124606,0.00,5347.20,4977106.03
75,2026-08-28,2026-08-28,DEP TFR/UPI/CR/728193640411/DELTA,AXIS93669885,0.00,51205.00,5028311.03
76,2026-08-31,2026-08-31,DEP TFR/UPI/CR/629183740512/MEERA,YESB30390666,0.00,30600.00,5058911.03
77,2026-09-01,2026-09-01,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,ICICI35058058,5256.00,0.00,5053655.03
78,2026-09-03,2026-09-03,ATM WDL/ORBIT OFFICE SOLUTIONS/ATM11,SBIN79473681,1288.75,0.00,5052366.28
79,2026-09-03,2026-09-03,DEP TFR/NEFT/CR/ARUN TRADERS,HDFC16326188,0.00,67725.00,5120091.28
80,2026-09-05,2026-09-05,ATM WDL/GREENFIELD FOODS/ATM09,HDFC70482247,21204.00,0.00,5098887.28
81,2026-09-05,2026-09-05,DEP TFR/UPI/CR/781293640515/NOVA,AXIS81071188,0.00,27180.00,5126067.28
82,2026-09-07,2026-09-07,CASH DEP/MEERA CONSULTING,ICICI87464505,0.00,29375.00,5155442.28
83,2026-09-09,2026-09-09,INT CR/DELTA MEDIA HOUSE,ICICI84124156,0.00,3830.40,5159272.68
84,2026-09-10,2026-09-10,DEP TFR/UPI/CR/619283740516/NOVA,KKBK21729751,0.00,86175.00,5245447.68
85,2026-09-11,2026-09-11,WDL TFR/UPI/DR/518293746017/ARUN,ICICI90131366,3536.00,0.00,5241911.68
86,2026-09-12,2026-09-12,INT CR/ARUN TRADERS,HDFC86189560,0.00,23825.00,5265736.68
87,2026-09-14,2026-09-14,DEP TFR/UPI/CR/718293640518/MEERA,AXIS75105285,0.00,4387.20,5270123.88
88,2026-09-16,2026-09-16,ACH DR/KIRAN SUPPLIERS/KKBK,KKBK43898806,674.70,0.00,5269449.18
89,2026-09-18,2026-09-19,WDL TFR/NEFT/DR/ARUN TRADERS,KKBK16777448,2407.20,0.00,5267041.98
90,2026-09-22,2026-09-22,WDL TFR/NEFT/DR/KIRAN SUPPLIERS,INDB18288499,32220.00,0.00,5234821.98
91,2026-09-23,2026-09-23,ATM WDL/ARUN TRADERS/ATM13,HDFC19432708,837.90,0.00,5233984.08
92,2026-09-25,2026-09-25,ATM WDL/MEERA CONSULTING/ATM15,SBIN98582356,15336.00,0.00,5218648.08
93,2026-09-28,2026-09-28,DEP TFR/NEFT/CR/GREENFIELD FOODS,HDFC63289212,0.00,2104.80,5220752.88
94,2026-09-30,2026-09-30,BANK CHG/MEERA CONSULTING,SBIN81061003,3526.40,0.00,5217226.48
95,2026-10-01,2026-10-02,CASH DEP/DELTA MEDIA HOUSE/BRANCH,YESB98350358,0.00,1243.75,5218470.23
96,2026-10-03,2026-10-03,WDL TFR/UPI/DR/729183640519/NOVA,INDB43148912,10332.00,0.00,5208138.23
97,2026-10-08,2026-10-08,WDL TFR/UPI/DR/619283740520/DELTA,INDB53576537,45402.00,0.00,5162736.23
98,2026-10-09,2026-10-09,BANK CHG/DELTA MEDIA HOUSE,YESB42439301,51535.00,0.00,5111201.23
99,2026-10-11,2026-10-12,WDL TFR/IMPS/DR/MEERA CONSULTING,KKBK24078418,658.45,0.00,5110542.78
100,2026-10-12,2026-10-12,WDL TFR/IMPS/DR/ORBIT OFFICE SOLUTIONS,INDB80085533,1005.30,0.00,5109537.48
