recon_id,entity_id,type,created_date,settled_date,settlement_id,payment_id,order_id,order_receipt,method,payment_region,card_network,card_type,amount,fee,tax,fx_charge,debit,credit,settlement_utr,description,notes,settled
REC00001,pay_202600000001,payment,2026-06-17,2026-06-18,setl_0001,pay_202600000001,order_INV-2026-0001,INV-2026-0001,netbanking,domestic,,,7711.20,154.22,27.76,0.00,0.00,7529.22,RZP20260601INDB5362,Payment received - Flipkart Online,ledger_ref=INV-2026-0001;part=1/1,true
REC00002,pay_202600000002,payment,2026-06-17,2026-06-18,setl_0001,pay_202600000002,order_INV-2026-0002,INV-2026-0002,card,domestic,Visa,credit,22344.00,446.88,80.44,0.00,0.00,21816.68,RZP20260601INDB5362,Payment received - MMT India,ledger_ref=INV-2026-0002;part=1/1,true
REC00003,pay_202600000003,payment,2026-06-17,2026-06-18,setl_0001,pay_202600000003,order_INV-2026-0003,INV-2026-0003,wallet,domestic,,,52250.00,1045.00,188.10,0.00,0.00,51016.90,RZP20260601INDB5362,Payment received - Decathlon Retail,ledger_ref=INV-2026-0003;part=1/1,true
REC00004,pay_202600000004,payment,2026-06-17,2026-06-18,setl_0001,pay_202600000004,order_INV-2026-0004,INV-2026-0004,netbanking,domestic,,,1726.20,34.52,6.21,0.00,0.00,1685.47,RZP20260601INDB5362,Payment received - CultFit Health Pvt Ltd,ledger_ref=INV-2026-0004;part=1/1,true
REC00005,pay_202600000005,payment,2026-06-17,2026-06-18,setl_0001,pay_202600000005,order_INV-2026-0005,INV-2026-0005,upi,domestic,,,8517.00,170.34,30.66,0.00,0.00,8316.00,RZP20260601INDB5362,Payment received - Lenskart Retail,ledger_ref=INV-2026-0005;part=1/1,true
REC00006,pay_202600000006,payment,2026-06-17,2026-06-19,setl_0002,pay_202600000006,order_INV-2026-0006,INV-2026-0006,emi,domestic,Visa,credit,22095.00,662.85,119.31,0.00,0.00,21312.84,RZP20260602HDFC3925,Payment received - Groww Invest Tech,ledger_ref=INV-2026-0006;part=1/1,true
REC00007,pay_202600000007,payment,2026-06-17,2026-06-19,setl_0002,pay_202600000007,order_INV-2026-0007,INV-2026-0007,wallet,domestic,,,57585.00,1151.70,207.31,0.00,0.00,56225.99,RZP20260602HDFC3925,Payment received - Furlenco Rentals,ledger_ref=INV-2026-0007;part=1/1,true
REC00008,pay_202600000008,payment,2026-06-17,2026-06-19,setl_0002,pay_202600000008,order_INV-2026-0008,INV-2026-0008,card,domestic,Visa,credit,2173.50,43.47,7.82,0.00,0.00,2122.21,RZP20260602HDFC3925,Payment received - Apollo 24x7,ledger_ref=INV-2026-0008;part=1/1,true
REC00009,pay_202600000009,payment,2026-06-17,2026-06-19,setl_0002,pay_202600000009,order_INV-2026-0009,INV-2026-0009,wallet,domestic,,,9411.60,188.23,33.88,0.00,0.00,9189.49,RZP20260602HDFC3925,Payment received - Myntra India,ledger_ref=INV-2026-0009;part=1/1,true
REC00010,pay_202600000010,payment,2026-06-17,2026-06-19,setl_0002,pay_202600000010,order_INV-2026-0010,INV-2026-0010,card,domestic,Visa,credit,23976.00,479.52,86.31,0.00,0.00,23410.17,RZP20260602HDFC3925,Payment received - RazorpayX Services,ledger_ref=INV-2026-0010;part=1/1,true
REC00011,pay_202600000011,payment,2026-06-19,2026-06-20,setl_0003,pay_202600000011,order_INV-2026-0011,INV-2026-0011,netbanking,domestic,,,57360.00,1147.20,206.50,0.00,0.00,56006.30,RZP20260603SBIN5181,Payment received - Zepto Commerce Pvt Ltd,ledger_ref=INV-2026-0011;part=1/1,true
REC00012,pay_202600000012,payment,2026-06-19,2026-06-20,setl_0003,pay_202600000012,order_INV-2026-0012,INV-2026-0012,upi,domestic,,,1368.13,27.36,4.92,0.00,0.00,1335.85,RZP20260603SBIN5181,Payment received - Zomato Ltd,ledger_ref=INV-2026-0012;part=1/2,true
REC00013,pay_202600000013,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000013,order_INV-2026-0012,INV-2026-0012,upi,domestic,,,1368.12,27.36,4.92,0.00,0.00,1335.84,RZP20260604SBIN8779,Payment received - Zomato Pvt Ltd,ledger_ref=INV-2026-0012;part=2/2,true
REC00014,pay_202600000014,payment,2026-06-19,2026-06-20,setl_0003,pay_202600000014,order_INV-2026-0013,INV-2026-0013,netbanking,domestic,,,9880.50,197.61,35.57,0.00,0.00,9647.32,RZP20260603SBIN5181,Payment received - Zomato Pvt Ltd,ledger_ref=INV-2026-0013;part=1/1,true
REC00015,pay_202600000015,payment,2026-06-19,2026-06-20,setl_0003,pay_202600000015,order_INV-2026-0014,INV-2026-0014,upi,domestic,,,26875.00,537.50,96.75,0.00,0.00,26240.75,RZP20260603SBIN5181,Payment received - Pepperfry Home,ledger_ref=INV-2026-0014;part=1/1,true
REC00016,pay_202600000016,payment,2026-06-19,2026-06-20,setl_0003,pay_202600000016,order_INV-2026-0015,INV-2026-0015,wallet,domestic,,,63245.00,1264.90,227.68,0.00,0.00,61752.42,RZP20260603SBIN5181,Payment received - PhonePe Commerce,ledger_ref=INV-2026-0015;part=1/1,true
REC00017,pay_202600000017,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000017,order_INV-2026-0016,INV-2026-0016,netbanking,domestic,,,3084.80,61.70,11.11,0.00,0.00,3011.99,RZP20260604SBIN8779,Payment received - EaseMyTrip Travel,ledger_ref=INV-2026-0016;part=1/1,true
REC00018,pay_202600000018,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000018,order_INV-2026-0017,INV-2026-0017,upi,domestic,,,11603.50,232.07,41.77,0.00,0.00,11329.66,RZP20260604SBIN8779,Payment received - IKEA Retail India,ledger_ref=INV-2026-0017;part=1/1,true
REC00019,pay_202600000019,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000019,order_INV-2026-0018,INV-2026-0018,upi,domestic,,,29232.50,584.65,105.24,0.00,0.00,28542.61,RZP20260604SBIN8779,Payment received - Flipkart Online,ledger_ref=INV-2026-0018;part=1/1,true
REC00020,pay_202600000020,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000020,order_INV-2026-0019,INV-2026-0019,emi,domestic,Visa,credit,69440.00,2083.20,374.98,0.00,0.00,66981.82,RZP20260604SBIN8779,Payment received - BookMyShow Pvt Ltd,ledger_ref=INV-2026-0019;part=1/1,true
REC00021,pay_202600000021,payment,2026-06-19,2026-06-22,setl_0004,pay_202600000021,order_INV-2026-0020,INV-2026-0020,wallet,domestic,,,3881.25,77.63,13.97,0.00,0.00,3789.65,RZP20260604SBIN8779,Payment received - Decathlon Sports India,ledger_ref=INV-2026-0020;part=1/1,true
REC00022,pay_202600000022,payment,2026-06-20,2026-06-23,setl_0005,pay_202600000022,order_INV-2026-0021,INV-2026-0021,upi,domestic,,,12987.50,259.75,46.76,0.00,0.00,12680.99,RZP20260605AXIS2468,Payment received - Big Basket India,ledger_ref=INV-2026-0021;part=1/1,true
REC00023,pay_202600000023,payment,2026-06-20,2026-06-23,setl_0005,pay_202600000023,order_INV-2026-0022,INV-2026-0022,card,domestic,American Express,credit,29760.00,892.80,160.70,0.00,0.00,28706.50,RZP20260605AXIS2468,Payment received - Lenskart Solutions,ledger_ref=INV-2026-0022;part=1/1,true
REC00024,pay_202600000024,payment,2026-06-20,2026-06-23,setl_0005,pay_202600000024,order_INV-2026-0023,INV-2026-0023,wallet,domestic,,,81600.00,1632.00,293.76,0.00,0.00,79674.24,RZP20260605AXIS2468,Payment received - PB Fintech,ledger_ref=INV-2026-0023;part=1/1,true
REC00025,pay_202600000025,payment,2026-06-20,2026-06-23,setl_0005,pay_202600000025,order_INV-2026-0024,INV-2026-0024,netbanking,domestic,,,4145.40,82.91,14.92,0.00,0.00,4047.57,RZP20260605AXIS2468,Payment received - Furlenco Furniture,ledger_ref=INV-2026-0024;part=1/1,true
REC00026,pay_202600000026,payment,2026-06-20,2026-06-23,setl_0005,pay_202600000026,order_INV-2026-0025,INV-2026-0025,netbanking,domestic,,,14669.40,293.39,52.81,0.00,0.00,14323.20,RZP20260605AXIS2468,Payment received - PharmEasy Labs,ledger_ref=INV-2026-0025;part=1/1,true
REC00027,pay_202600000027,payment,2026-06-22,2026-06-24,setl_0006,pay_202600000027,order_INV-2026-0026,INV-2026-0026,wallet,domestic,,,31687.50,633.75,114.08,0.00,0.00,30939.67,RZP20260606HDFC7308,Payment received - Myntra Designs,ledger_ref=INV-2026-0026;part=1/1,true
REC00028,pay_202600000028,payment,2026-06-22,2026-06-24,setl_0006,pay_202600000028,order_INV-2026-0027,INV-2026-0027,wallet,domestic,,,91170.00,1823.40,328.21,0.00,0.00,89018.39,RZP20260606HDFC7308,Payment received - Nykaa Retail,ledger_ref=INV-2026-0027;part=1/1,true
REC00029,pay_202600000029,payment,2026-06-22,2026-06-24,setl_0006,pay_202600000029,order_INV-2026-0028,INV-2026-0028,upi,domestic,,,4402.20,88.04,15.85,0.00,0.00,4298.31,RZP20260606HDFC7308,Payment received - Zepto Marketplace,ledger_ref=INV-2026-0028;part=1/1,true
REC00030,pay_202600000030,payment,2026-06-22,2026-06-24,setl_0006,pay_202600000030,order_INV-2026-0029,INV-2026-0029,upi,domestic,,,15735.00,314.70,56.65,0.00,0.00,15363.65,RZP20260606HDFC7308,Payment received - CRED Financial,ledger_ref=INV-2026-0029;part=1/1,true
REC00031,pay_202600000031,payment,2026-06-22,2026-06-24,setl_0006,pay_202600000031,order_INV-2026-0030,INV-2026-0030,upi,domestic,,,35000.00,700.00,126.00,0.00,0.00,34174.00,RZP20260606HDFC7308,Payment received - Boat Lifestyle,ledger_ref=INV-2026-0030;part=1/1,true
REC00032,pay_202600000032,payment,2026-06-23,2026-06-25,setl_0007,pay_202600000032,order_INV-2026-0031,INV-2026-0031,upi,domestic,,,106600.00,2132.00,383.76,0.00,0.00,104084.24,RZP20260607SBIN8206,Payment received - Firstcry India,ledger_ref=INV-2026-0031;part=1/1,true
REC00033,pay_202600000033,payment,2026-06-23,2026-06-25,setl_0007,pay_202600000033,order_INV-2026-0032,INV-2026-0032,card,domestic,Visa,credit,5360.25,107.21,19.30,0.00,0.00,5233.74,RZP20260607SBIN8206,Payment received - PhonePe Internet Pvt Ltd,ledger_ref=INV-2026-0032;part=1/1,true
REC00034,pay_202600000034,payment,2026-06-23,2026-06-25,setl_0007,pay_202600000034,order_INV-2026-0033,INV-2026-0033,netbanking,domestic,,,16516.50,330.33,59.46,0.00,0.00,16126.71,RZP20260607SBIN8206,Payment received - Acko Tech,ledger_ref=INV-2026-0033;part=1/1,true
REC00035,pay_202600000035,payment,2026-06-23,2026-06-25,setl_0007,pay_202600000035,order_INV-2026-0034,INV-2026-0034,card,domestic,Diners Club,credit,36075.00,1082.25,194.81,0.00,0.00,34797.94,RZP20260607SBIN8206,Payment received - IKEA India Online,ledger_ref=INV-2026-0034;part=1/1,true
REC00036,pay_202600000036,payment,2026-06-23,2026-06-25,setl_0007,pay_202600000036,order_INV-2026-0035,INV-2026-0035,netbanking,domestic,,,124875.00,2497.50,449.55,0.00,0.00,121927.95,RZP20260607SBIN8206,Payment received - Swiggy India,ledger_ref=INV-2026-0035;part=1/1,true
REC00037,pay_202600000037,payment,2026-06-24,2026-06-26,setl_0008,pay_202600000037,order_INV-2026-0036,INV-2026-0036,netbanking,domestic,,,6138.00,122.76,22.10,0.00,0.00,5993.14,RZP20260608HDFC7101,Payment received - Urban Co Services,ledger_ref=INV-2026-0036;part=1/1,true
REC00038,pay_202600000038,payment,2026-06-24,2026-06-26,setl_0008,pay_202600000038,order_INV-2026-0037,INV-2026-0037,card,domestic,Visa,credit,40000.00,800.00,144.00,0.00,0.00,39056.00,RZP20260608HDFC7101,Payment received - Urban Company,ledger_ref=INV-2026-0037;part=1/2,true
REC00039,pay_202600000039,payment,2026-06-24,2026-06-29,setl_0009,pay_202600000039,order_INV-2026-0037,INV-2026-0037,card,domestic,Visa,credit,20000.00,400.00,72.00,0.00,0.00,19528.00,RZP20260609HDFC8078,Payment received - Urban Company,ledger_ref=INV-2026-0037;part=2/2,true
REC00040,pay_202600000040,payment,2026-06-24,2026-06-26,setl_0008,pay_202600000040,order_INV-2026-0038,INV-2026-0038,upi,domestic,,,37680.00,753.60,135.65,0.00,0.00,36790.75,RZP20260608HDFC7101,Payment received - BigBasket Online,ledger_ref=INV-2026-0038;part=1/1,true
REC00041,pay_202600000041,payment,2026-06-24,2026-06-26,setl_0008,pay_202600000041,order_INV-2026-0039,INV-2026-0039,card,domestic,Visa,credit,142650.00,2853.00,513.54,0.00,0.00,139283.46,RZP20260608HDFC7101,Payment received - Meesho Technologies,ledger_ref=INV-2026-0039;part=1/1,true
REC00042,pay_202600000042,payment,2026-06-24,2026-06-26,setl_0008,pay_202600000042,order_INV-2026-0040,INV-2026-0040,netbanking,domestic,,,6188.00,123.76,22.28,0.00,0.00,6041.96,RZP20260608HDFC7101,Payment received - PolicyBazaar Insurance Web,ledger_ref=INV-2026-0040;part=1/1,true
REC00043,pay_202600000043,payment,2026-06-25,2026-06-29,setl_0009,pay_202600000043,order_INV-2026-0041,INV-2026-0041,upi,domestic,,,18466.50,369.33,66.48,0.00,0.00,18030.69,RZP20260609HDFC8078,Payment received - Freshworks Technologies,ledger_ref=INV-2026-0041;part=1/1,true
REC00044,pay_202600000044,payment,2026-06-25,2026-06-29,setl_0009,pay_202600000044,order_INV-2026-0042,INV-2026-0042,netbanking,domestic,,,46710.00,934.20,168.16,0.00,0.00,45607.64,RZP20260609HDFC8078,Payment received - PharmEasy,ledger_ref=INV-2026-0042;part=1/1,true
REC00045,pay_202600000045,payment,2026-06-25,2026-06-29,setl_0009,pay_202600000045,order_INV-2026-0043,INV-2026-0043,upi,domestic,,,1296.25,25.93,4.67,0.00,0.00,1265.65,RZP20260609HDFC8078,Payment received - Zomato Pvt Ltd,ledger_ref=INV-2026-0043;part=1/1,true
REC00046,pay_202600000046,payment,2026-06-25,2026-06-29,setl_0009,pay_202600000046,order_INV-2026-0044,INV-2026-0044,netbanking,domestic,,,25000.00,500.00,90.00,0.00,0.00,24410.00,RZP20260609HDFC8078,Payment received - Urban Company,ledger_ref=INV-2026-0044;part=1/1,true
REC00047,pay_202600000047,payment,2026-06-25,2026-06-29,setl_0009,pay_202600000047,order_INV-2026-0045,,upi,domestic,,,25000.00,500.00,90.00,0.00,0.00,24410.00,RZP20260609HDFC8078,Payment received - Urban Co Services,ledger_ref=INV-2026-0045;part=1/1,true
REC00048,pay_202600000048,payment,2026-06-26,2026-06-30,setl_0010,pay_202600000048,order_INV-2026-0046,INV-2026-0046,netbanking,domestic,,,50700.00,1014.00,182.52,0.00,0.00,49503.48,RZP20260610INDB9773,Payment received - CRED Technologies,ledger_ref=INV-2026-0046;part=1/1,true
REC00049,pay_202600000049,payment,2026-06-26,2026-06-30,setl_0010,pay_202600000049,order_INV-2026-0047,INV-2026-0047,netbanking,domestic,,,1695.60,33.91,6.10,0.00,0.00,1655.59,RZP20260610INDB9773,Payment received - Cult Fit Fitness,ledger_ref=INV-2026-0047;part=1/1,true
REC00050,pay_202600000050,payment,2026-06-26,2026-06-30,setl_0010,pay_202600000050,order_INV-2026-0048,INV-2026-0048,card,domestic,Visa,credit,8313.00,166.26,29.93,0.00,0.00,8116.81,RZP20260610INDB9773,Payment received - FirstCry Retail,ledger_ref=INV-2026-0048;part=1/1,true
REC00051,pay_202600000051,payment,2026-06-26,2026-06-30,setl_0010,pay_202600000051,order_INV-2026-0049,INV-2026-0049,upi,domestic,,,22747.50,454.95,81.89,0.00,0.00,22210.66,RZP20260610INDB9773,Payment received - Groww Financial,ledger_ref=INV-2026-0049;part=1/1,true
REC00052,pay_202600000052,payment,2026-06-26,2026-06-30,setl_0010,pay_202600000052,order_INV-2026-0050,INV-2026-0050,netbanking,domestic,,,56650.00,1133.00,203.94,0.00,0.00,55313.06,RZP20260610INDB9773,Payment received - Acko General Insurance,ledger_ref=INV-2026-0050;part=1/1,true
REC00053,pay_202600000053,payment,2026-06-29,2026-07-01,setl_0011,pay_202600000053,order_INV-2026-0051,INV-2026-0051,upi,domestic,,,2346.75,46.94,8.45,0.00,0.00,2291.36,RZP20260611SBIN9506,Payment received - Apollo HealthTech,ledger_ref=INV-2026-0051;part=1/1,true
REC00054,pay_202600000054,payment,2026-06-29,2026-07-01,setl_0011,pay_202600000054,order_INV-2026-0052,INV-2026-0052,wallet,domestic,,,8841.20,176.82,31.83,0.00,0.00,8632.55,RZP20260611SBIN9506,Payment received - Swiggy Foods Pvt Ltd,ledger_ref=INV-2026-0052;part=1/1,true
REC00055,pay_202600000055,payment,2026-06-29,2026-07-01,setl_0011,pay_202600000055,order_INV-2026-0053,INV-2026-0053,netbanking,domestic,,,23304.00,466.08,83.89,0.00,0.00,22754.03,RZP20260611SBIN9506,Payment received - Urban Company,ledger_ref=INV-2026-0053;part=1/1,true
REC00056,pay_202600000056,payment,2026-06-29,2026-07-01,setl_0011,pay_202600000056,order_INV-2026-0054,INV-2026-0054,netbanking,domestic,,,63060.00,1261.20,227.02,0.00,0.00,61571.78,RZP20260611SBIN9506,Payment received - Blink Commerce Pvt Ltd,ledger_ref=INV-2026-0054;part=1/1,true
REC00057,pay_202600000057,payment,2026-06-29,2026-07-01,setl_0011,pay_202600000057,order_INV-2026-0055,INV-2026-0055,upi,domestic,,,2945.25,58.91,10.60,0.00,0.00,2875.74,RZP20260611SBIN9506,Payment received - Tata Unistore,ledger_ref=INV-2026-0055;part=1/1,true
REC00058,pay_202600000058,payment,2026-06-30,2026-07-02,setl_0012,pay_202600000058,order_INV-2026-0056,INV-2026-0056,card,domestic,Visa,credit,11014.50,220.29,39.65,0.00,0.00,10754.56,RZP20260612ICICI3175,Payment received - Meesho Online Services,ledger_ref=INV-2026-0056;part=1/1,true
REC00059,pay_202600000059,payment,2026-06-30,2026-07-02,setl_0012,pay_202600000059,order_INV-2026-0057,INV-2026-0057,upi,domestic,,,23625.00,472.50,85.05,0.00,0.00,23067.45,RZP20260612ICICI3175,Payment received - Pepperfry Online Services,ledger_ref=INV-2026-0057;part=1/1,true
REC00060,pay_202600000060,payment,2026-06-30,2026-07-02,setl_0012,pay_202600000060,order_INV-2026-0058,INV-2026-0058,upi,domestic,,,38285.00,765.70,137.83,0.00,0.00,37381.47,RZP20260612ICICI3175,Payment received - Freshworks,ledger_ref=INV-2026-0058;part=1/2,true
REC00061,pay_202600000061,payment,2026-06-30,2026-07-03,setl_0013,pay_202600000061,order_INV-2026-0058,INV-2026-0058,upi,domestic,,,23465.00,469.30,84.47,0.00,0.00,22911.23,RZP20260613KKBK7654,Payment received - Freshworks,ledger_ref=INV-2026-0058;part=2/2,true
REC00062,pay_202600000062,payment,2026-06-30,2026-07-02,setl_0012,pay_202600000062,order_INV-2026-0059,INV-2026-0059,upi,domestic,,,3318.40,66.37,11.95,0.00,0.00,3240.08,RZP20260612ICICI3175,Payment received - EaseMyTrip Online,ledger_ref=INV-2026-0059;part=1/1,true
REC00063,pay_202600000063,payment,2026-06-30,2026-07-02,setl_0012,pay_202600000063,order_INV-2026-0060,INV-2026-0060,wallet,domestic,,,12247.50,244.95,44.09,0.00,0.00,11958.46,RZP20260612ICICI3175,Payment received - Zomato India Ltd,ledger_ref=INV-2026-0060;part=1/1,true
REC00064,pay_202600000064,payment,2026-07-01,2026-07-03,setl_0013,pay_202600000064,order_INV-2026-0061,INV-2026-0061,card,international,Visa,credit,27885.00,836.55,150.58,50.19,0.00,26847.68,RZP20260613KKBK7654,Payment received - Flipkart Online,ledger_ref=INV-2026-0061;part=1/1,true
REC00065,pay_202600000065,payment,2026-07-01,2026-07-03,setl_0013,pay_202600000065,order_INV-2026-0062,INV-2026-0062,card,domestic,Visa,credit,67830.00,1356.60,244.19,0.00,0.00,66229.21,RZP20260613KKBK7654,Payment received - MMT India,ledger_ref=INV-2026-0062;part=1/1,true
REC00066,pay_202600000066,payment,2026-07-01,2026-07-03,setl_0013,pay_202600000066,order_INV-2026-0063,INV-2026-0063,upi,domestic,,,3637.50,72.75,13.10,0.00,0.00,3551.65,RZP20260613KKBK7654,Payment received - Decathlon Retail,ledger_ref=INV-2026-0063;part=1/1,true
REC00067,pay_202600000067,payment,2026-07-01,2026-07-03,setl_0013,pay_202600000067,order_INV-2026-0064,INV-2026-0064,card,domestic,Visa,credit,12437.50,248.75,44.78,0.00,0.00,12143.97,RZP20260613KKBK7654,Payment received - CultFit Health Pvt Ltd,ledger_ref=INV-2026-0064;part=1/1,true
REC00068,pay_202600000068,payment,2026-07-01,2026-07-03,setl_0013,pay_202600000068,order_INV-2026-0065,INV-2026-0065,upi,domestic,,,30690.00,613.80,110.48,0.00,0.00,29965.72,RZP20260613KKBK7654,Payment received - Lenskart Retail,ledger_ref=INV-2026-0065;part=1/1,true
