settlement_id,settlement_date,settlement_utr,status,settlement_cycle,gross_payments,refunds,adjustment_credits,adjustment_debits,fees,tax,fx_charges,net_settlement
setl_0001,2026-06-18,RZP20260601INDB5362,processed,merchant_t+1,92548.40,0.00,0.00,0.00,1850.96,333.17,0.00,90364.27
setl_0002,2026-06-19,RZP20260602HDFC3925,processed,standard_t+2,115241.10,0.00,0.00,0.00,2525.77,454.63,0.00,112260.70
setl_0003,2026-06-20,RZP20260603SBIN5181,processed,merchant_t+1,158728.63,0.00,1250.00,0.00,3174.57,571.42,0.00,156232.64
setl_0004,2026-06-22,RZP20260604SBIN8779,processed,standard_t+2,118610.17,2980.95,0.00,0.00,3066.61,551.99,0.00,112010.62
setl_0005,2026-06-23,RZP20260605AXIS2468,processed,standard_t+2,143162.30,0.00,0.00,0.00,3160.85,568.95,0.00,139432.50
setl_0006,2026-06-24,RZP20260606HDFC7308,processed,standard_t+2,177994.70,2641.32,0.00,0.00,3559.89,640.79,0.00,171152.70
setl_0007,2026-06-25,RZP20260607SBIN8206,processed,standard_t+2,289426.75,34720.00,0.00,0.00,6149.29,1106.88,0.00,247450.58
setl_0008,2026-06-26,RZP20260608HDFC7101,processed,standard_t+2,232656.00,0.00,0.00,0.00,4653.12,837.57,0.00,227165.31
setl_0009,2026-06-29,RZP20260609HDFC8078,processed,standard_t+2,136472.75,0.00,0.00,0.00,2729.46,491.31,0.00,133251.98
setl_0010,2026-06-30,RZP20260610INDB9773,processed,standard_t+2,140106.10,0.00,0.00,0.00,2802.12,504.38,0.00,136799.60
setl_0011,2026-07-01,RZP20260611SBIN9506,processed,standard_t+2,100497.20,0.00,0.00,0.00,2009.95,361.79,0.00,98125.46
setl_0012,2026-07-02,RZP20260612ICICI3175,processed,standard_t+2,88490.40,0.00,0.00,0.00,1769.81,318.57,0.00,86402.02
setl_0013,2026-07-03,RZP20260613KKBK7654,processed,standard_t+2,165945.00,0.00,0.00,0.00,3597.75,647.60,50.19,161649.46
setl_0014,2026-07-04,RZP20260614AXIS1476,processed,standard_t+2,223498.50,0.00,0.00,980.00,5235.57,942.39,0.00,216340.54
setl_0015,2026-07-06,RZP20260615AXIS3112,processed,instant_t+0,157612.75,16706.93,0.00,0.00,3152.26,567.41,0.00,137186.15
setl_0016,2026-07-07,RZP20260616HDFC8493,processed,standard_t+2,198734.50,0.00,0.00,0.00,3974.69,715.45,0.00,194044.36
setl_0017,2026-07-08,RZP20260617AXIS9875,processed,merchant_t+1,267957.90,0.00,0.00,0.00,5359.16,964.66,0.00,261634.08
setl_0018,2026-07-09,RZP20260618AXIS6271,processed,standard_t+2,83179.45,0.00,0.00,0.00,1883.46,339.02,0.00,80956.97
setl_0019,2026-07-10,RZP20260619KKBK9821,processed,standard_t+2,95032.50,0.00,0.00,0.00,1992.11,358.58,0.00,92681.81
setl_0020,2026-07-13,RZP20260620SBIN2018,processed,merchant_t+1,121341.25,10993.50,0.00,0.00,2426.83,436.84,0.00,107484.08
setl_0021,2026-07-14,RZP20260621AXIS3921,processed,standard_t+2,182330.00,0.00,2200.00,0.00,3646.60,656.40,0.00,180227.00
setl_0022,2026-07-15,RZP20260622ICICI8090,processed,standard_t+2,136646.85,0.00,0.00,0.00,2773.60,499.25,0.00,133374.00
setl_0023,2026-07-16,RZP20260623YESB8170,processed,standard_t+2,158385.30,0.00,0.00,0.00,3502.14,630.38,60.20,154192.58
setl_0024,2026-07-17,RZP20260624AXIS4254,processed,standard_t+2,188934.75,16549.50,0.00,0.00,3778.70,680.17,0.00,167926.38
setl_0025,2026-07-18,RZP20260625AXIS4982,processed,standard_t+2,341463.25,25725.00,0.00,0.00,8115.52,1460.79,0.00,306161.94
setl_0026,2026-07-20,RZP20260626KKBK3006,processed,standard_t+2,89706.10,0.00,0.00,0.00,1998.29,359.69,0.00,87348.12
setl_0027,2026-07-21,RZP20260627SBIN2194,processed,standard_t+2,105078.30,0.00,0.00,0.00,2101.57,378.29,0.00,102598.44
setl_0028,2026-07-22,RZP20260628ICICI5763,processed,standard_t+2,148210.12,0.00,0.00,0.00,2988.44,537.92,7.51,144676.25
setl_0029,2026-07-23,RZP20260629KKBK8443,processed,standard_t+2,103041.28,22459.75,0.00,0.00,2326.58,418.78,0.00,77836.17
setl_0030,2026-07-24,RZP20260630HDFC4457,failed,standard_t+2,127262.00,0.00,0.00,0.00,2545.24,458.15,0.00,124258.61
