ledger_id,invoice_id,ledger_date,ledger_amount,customer_name,payment_mode,bank_reference,bank_date,bank_amount,amount_score,date_score,reference_score,reference_applicable,party_score,transaction_type_score,narration_score,base_score,ambiguity_penalty,confidence,status,score_explanation,reason
LED0001,INV-2026-0001,2026-06-17,7711.2,Flipkart Online,netbanking,SBIN49395565,2026-06-16,8430.0,9.0,22.5,,False,0.0,3.0,2.0,36.5,0.0,36.5,REVIEW,"Partial amount match (score: 9.0/45). Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Best candidate scored 36.50%, below the 80% auto-match threshold.",Partial amount match. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0002,INV-2026-0002,2026-06-17,22344.0,MakeMyTrip India Pvt Ltd,card,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0003,INV-2026-0003,2026-06-17,52250.0,Decathlon Retail,wallet,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0004,INV-2026-0004,2026-06-17,1726.2,CultFit Health Pvt Ltd,netbanking,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Best candidate scored 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0005,INV-2026-0005,2026-06-17,8517.0,Lenskart Retail,upi,SBIN49395565,2026-06-16,8430.0,31.5,22.5,,False,0.0,3.0,2.0,59.0,0.0,59.0,REVIEW,"Amount is close (score: 31.5/45). Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Best candidate scored 59.00%, below the 80% auto-match threshold.",Amount is close. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0006,INV-2026-0006,2026-06-17,22095.0,Groww Invest Tech,emi,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0007,INV-2026-0007,2026-06-17,57585.0,Furlenco Rentals,wallet,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0008,INV-2026-0008,2026-06-17,2173.5,Apollo 24x7,card,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,2.0,25.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Multiple competing candidates. Top: 27.50%, Second: 23.50% (margin: 4.00% < 5% threshold). Human review required to resolve ambiguity.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0009,INV-2026-0009,2026-06-17,9411.6,Myntra India,wallet,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
LED0010,INV-2026-0010,2026-06-17,23976.0,RazorpayX Services,card,SBIN49395565,2026-06-16,8430.0,0.0,22.5,,False,0.0,3.0,2.0,27.5,0.0,27.5,REVIEW,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Single candidate with score 27.50%, below the 80% auto-match threshold.",Amount mismatch. Date within tolerance. Reference n/a (ledger). Manual review recommended.
