ledger_id,invoice_id,ledger_date,ledger_amount,customer_name,payment_mode,bank_reference,bank_date,bank_amount,amount_score,date_score,reference_score,reference_applicable,party_score,transaction_type_score,narration_score,base_score,ambiguity_penalty,confidence,status,score_explanation,reason
LED0011,INV-2026-0011,2026-06-19,57360.0,Zepto Commerce Pvt Ltd,netbanking,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0013,INV-2026-0013,2026-06-19,9880.5,Zomato Pvt Ltd,netbanking,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0016,INV-2026-0016,2026-06-19,3084.8,EaseMyTrip Travel,netbanking,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0020,INV-2026-0020,2026-06-19,3881.25,Decathlon Sports India,wallet,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0022,INV-2026-0022,2026-06-20,29760.0,Lenskart Solutions,card,KKBK11648035,2026-06-26,830.7,0.0,8.75,,False,7.5,6.0,2.0,24.25,0.0,24.25,UNMATCHED,"Amount mismatch. Date within tolerance (score: 8.75/25). Partial customer name match (score: 7.5/15). Transaction type partially compatible (score: 6.0/10). Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 24.25%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0024,INV-2026-0024,2026-06-20,4145.4,Furlenco Furniture,netbanking,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0025,INV-2026-0025,2026-06-20,14669.4,PharmEasy Labs,netbanking,SBIN64864856,2026-06-23,6975.0,0.0,18.75,,False,0.0,0.0,2.0,20.75,0.0,20.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 20.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0026,INV-2026-0026,2026-06-22,31687.5,Myntra Designs Pvt Ltd,wallet,SBIN64864856,2026-06-23,6975.0,0.0,22.5,,False,0.0,0.0,2.0,24.5,0.0,24.5,UNMATCHED,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 24.50%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0027,INV-2026-0027,2026-06-22,91170.0,Nykaa Retail,wallet,SBIN64864856,2026-06-23,6975.0,0.0,22.5,,False,0.0,0.0,2.0,24.5,0.0,24.5,UNMATCHED,"Amount mismatch. Date is close (score: 22.5/25). Customer name not found in bank narration. Transaction type mismatch. Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 24.50%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0074,INV-2026-0074,2026-07-06,97100.0,Pepperfry Home,card,ICICI24355028,2026-07-02,4497.6,0.0,18.75,,False,0.0,3.0,2.0,23.75,0.0,23.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 23.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0075,INV-2026-0075,2026-07-06,5538.75,PhonePe Commerce,card,ICICI24355028,2026-07-02,4497.6,0.0,18.75,,False,0.0,3.0,2.0,23.75,0.0,23.75,UNMATCHED,"Amount mismatch. Date is close (score: 18.75/25). Customer name not found in bank narration. Transaction type partially compatible (score: 3.0/10). Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 23.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
LED0112,INV-2026-0112,2026-07-14,33442.5,Swiggy Foods Pvt Ltd,card,NTRF778821,2026-07-09,80956.97,0.0,13.75,,False,0.0,6.0,2.0,21.75,0.0,21.75,UNMATCHED,"Amount mismatch. Date within tolerance (score: 13.75/25). Customer name not found in bank narration. Transaction type partially compatible (score: 6.0/10). Reference/UTR: Not applicable for ledger reconciliation. Top candidate score is 21.75%, below the 25% rejection threshold.",NO VALID CANDIDATES
