settlement_id,settlement_date,settlement_cycle,settlement_utr,razorpay_net_settlement,bank_reference,bank_date,bank_credit,amount_score,date_score,transaction_type_score,narration_score,reference_score,base_score,ambiguity_penalty,ambiguity_type,candidate_count,top_candidate_2_score,top_candidate_3_score,confidence,status,score_explanation,reason
setl_0001,2026-06-18,merchant_t+1,RZP20260601INDB5362,90364.27,AXIS358752,2026-06-18,90364.27,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,9,30.0,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: merchant_t+1. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 30.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0002,2026-06-19,standard_t+2,RZP20260602HDFC3925,112260.7,AXIS898855,2026-06-19,112260.7,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,7,55.5,25.0,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 55.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0003,2026-06-20,merchant_t+1,RZP20260603SBIN5181,156232.64,RZP20260603SBIN5181,2026-06-20,156232.64,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,7,30.0,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: merchant_t+1. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 30.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0004,2026-06-22,standard_t+2,RZP20260604SBIN8779,112010.62,RZP20260604SBIN8779,2026-06-22,112010.62,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,6,23.5,21.25,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0005,2026-06-23,standard_t+2,RZP20260605AXIS2468,139432.5,AXIS696212,2026-06-23,139432.5,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,10,32.25,30.0,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 32.25%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0008,2026-06-26,standard_t+2,RZP20260608HDFC7101,227165.31,AXIS782088,2026-06-26,227165.31,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,9,23.5,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0010,2026-06-30,standard_t+2,RZP20260610INDB9773,136799.6,AXIS143498,2026-06-30,136799.6,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,12,47.25,44.25,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 47.25%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0011,2026-07-01,standard_t+2,RZP20260611SBIN9506,98125.46,RZP20260611SBIN9506,2026-07-01,98125.46,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,12,23.5,21.25,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 23.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0013,2026-07-03,standard_t+2,RZP20260613KKBK7654,161649.46,RZP20260613KKBK7654,2026-07-03,161649.46,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,13,25.0,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: standard_t+2. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 25.00%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
setl_0015,2026-07-06,instant_t+0,RZP20260615AXIS3112,137186.15,AXIS461704,2026-07-06,137186.15,40.0,15.0,5.0,5.0,35.0,100.0,0.0,none,9,63.5,23.5,100.0,MATCHED,Exact net settlement amount. Reference matches exactly. Bank date exactly matches the Razorpay settlement date. Settlement cycle: instant_t+0. Incoming transaction type provides partial supporting evidence. Bank narration contains a strong Razorpay identifier. Evidence is effectively complete. Top candidate scored 100.00%. Second candidate scored 63.50%. Top candidate exceeded the 95% claim threshold and was sufficiently stronger.,MATCHED AUTOMATICALLY
