row_id,value_date,post_date,details,ref_no_cheque_no,debit,credit,balance,bank_date,bank_amount,bank_debit,narration,bank_reference,transaction_type,is_credit,source,source_confidence,source_reason
11,2026-06-24,2026-06-24,DEP TFR/NEFT/CR/RZPY/06HDFC7308,06HDFC7308,0.0,171152.7,915404.43,2026-06-24,171152.7,0.0,DEP TFR/NEFT/CR/RZPY/06HDFC7308,06HDFC7308,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
14,2026-06-25,2026-06-25,DEP TFR/NEFT/CR/RZPY/20260607SBIN8206,AXIS706077,0.0,247450.58,1256130.01,2026-06-25,247450.58,0.0,DEP TFR/NEFT/CR/RZPY/20260607SBIN8206,AXIS706077,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
18,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY SETL PARTIAL/RZPY-P2,RZPY-P2,0.0,59963.39,1536619.41,2026-06-29,59963.39,0.0,DEP TFR/NEFT/CR/RZPY SETL PARTIAL/RZPY-P2,RZPY-P2,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
19,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY/20260609HDFC8078,RZP20260609HDFC8078,0.0,73288.59,1609908.0,2026-06-29,73288.59,0.0,DEP TFR/NEFT/CR/RZPY/20260609HDFC8078,RZP20260609HDFC8078,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
24,2026-07-02,2026-07-02,DEP TFR/NEFT/CR/RZPY/20260612ICICI3175,AXIS892686,0.0,86402.02,2001937.28,2026-07-02,86402.02,0.0,DEP TFR/NEFT/CR/RZPY/20260612ICICI3175,AXIS892686,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
28,2026-07-04,2026-07-04,DEP TFR/NEFT/CR/RZPY/20260614AXIS1476,AXIS201123,0.0,216340.54,2373852.88,2026-07-04,216340.54,0.0,DEP TFR/NEFT/CR/RZPY/20260614AXIS1476,AXIS201123,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
30,2026-07-07,2026-07-07,DEP TFR/NEFT/CR/RZPY SETTLEMENT/REV,UTR-MISSING,0.0,137186.15,2648225.18,2026-07-07,137186.15,0.0,DEP TFR/NEFT/CR/RZPY SETTLEMENT/REV,UTR-MISSING,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
32,2026-07-08,2026-07-08,DEP TFR/NEFT/CR/RZPY/20260617AXIS9875,AXIS490646,0.0,261634.08,3103903.62,2026-07-08,261634.08,0.0,DEP TFR/NEFT/CR/RZPY/20260617AXIS9875,AXIS490646,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
41,2026-07-14,2026-07-14,DEP TFR/NEFT/CR/RZPY/20260621AXIS3921,AXIS973737,0.0,180227.0,3717674.25,2026-07-14,180227.0,0.0,DEP TFR/NEFT/CR/RZPY/20260621AXIS3921,AXIS973737,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
43,2026-07-16,2026-07-16,DEP TFR/NEFT/CR/RZPY/20260623YESB8170,AXIS217630,0.0,154192.58,3865341.83,2026-07-16,154192.58,0.0,DEP TFR/NEFT/CR/RZPY/20260623YESB8170,AXIS217630,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
